fid,created_at,updated_at,custody_address,registered_at
3854,2024-06-17T23:16:18.264Z,2024-06-20T16:47:32.492Z,"{""type"":""Buffer"",""data"":[209,83,83,194,215,171,67,165,43,16,59,192,214,201,124,151,66,158,240,246]}",2023-11-07T20:11:17.000Z
5623,2024-06-17T23:21:57.146Z,2024-06-20T16:50:11.379Z,"{""type"":""Buffer"",""data"":[226,161,7,46,83,234,77,119,206,136,210,245,149,34,225,141,235,174,83,101]}",2024-01-10T17:02:43.000Z
15207,2024-06-18T00:24:37.800Z,2024-06-20T17:05:27.347Z,"{""type"":""Buffer"",""data"":[223,1,67,22,85,86,18,133,120,35,19,180,56,212,28,163,123,126,221,7]}",2024-01-31T22:49:53.000Z
15566,2024-06-18T00:28:42.093Z,2024-06-20T17:06:19.973Z,"{""type"":""Buffer"",""data"":[246,78,204,53,145,232,86,118,132,183,213,31,236,250,184,44,194,50,1,173]}",2023-11-07T20:15:19.000Z
23041,2024-06-18T01:40:20.145Z,2024-06-20T17:17:04.496Z,"{""type"":""Buffer"",""data"":[194,38,220,178,134,7,13,93,211,75,238,48,200,60,49,131,172,231,20,202]}",2024-01-11T00:47:55.000Z
23353,2024-06-18T01:41:26.432Z,2024-06-20T17:17:15.312Z,"{""type"":""Buffer"",""data"":[154,64,186,222,41,157,95,189,85,209,110,202,172,18,252,255,24,4,220,186]}",2023-11-07T20:26:55.000Z
231173,2024-06-18T04:10:58.216Z,2024-06-20T17:54:35.062Z,"{""type"":""Buffer"",""data"":[198,147,72,180,137,117,235,61,226,36,217,9,148,84,119,94,218,130,116,142]}",2024-01-22T23:53:05.000Z
236454,2024-06-18T04:40:18.355Z,2024-06-20T17:58:17.770Z,"{""type"":""Buffer"",""data"":[96,24,228,12,104,98,3,205,225,0,232,135,58,201,233,189,60,254,15,164]}",2024-01-28T03:41:41.000Z
244292,2024-06-18T06:01:10.328Z,2024-06-20T18:06:42.252Z,"{""type"":""Buffer"",""data"":[22,158,100,58,20,222,206,38,17,213,211,40,56,203,151,122,133,106,3,148]}",2024-01-30T17:38:07.000Z
256384,2024-06-18T09:30:07.585Z,2024-06-20T18:24:29.535Z,"{""type"":""Buffer"",""data"":[88,120,158,60,59,25,149,2,31,86,85,25,117,121,236,110,48,163,165,96]}",2024-02-02T04:24:17.000Z
256854,2024-06-18T09:40:16.439Z,2024-06-20T18:25:23.833Z,"{""type"":""Buffer"",""data"":[219,120,77,14,165,127,245,0,134,25,22,65,186,233,189,250,166,176,35,34]}",2024-02-02T05:03:03.000Z
257018,2024-06-18T09:43:40.298Z,2024-06-20T18:25:37.630Z,"{""type"":""Buffer"",""data"":[241,174,252,3,66,242,13,68,59,131,254,88,39,210,32,243,83,219,122,102]}",2024-02-02T05:17:17.000Z
258989,2024-06-18T13:00:08.796Z,2024-06-20T18:28:39.085Z,"{""type"":""Buffer"",""data"":[91,54,100,155,33,239,143,105,128,111,50,48,30,47,64,162,143,11,154,240]}",2024-02-02T07:12:17.000Z
261557,2024-06-18T13:59:16.848Z,2024-06-20T18:33:03.170Z,"{""type"":""Buffer"",""data"":[197,245,128,4,27,207,248,94,164,172,213,253,253,155,176,4,200,167,21,88]}",2024-02-02T14:40:57.000Z
