fname,created_at,updated_at,custody_address,expires_at,fid,deleted_at
defiginger.eth,2024-06-17T23:21:58.443Z,2024-06-20T16:50:11.456Z,"{""type"":""Buffer"",""data"":[255,155,86,49,64,149,47,183,227,229,85,47,26,80,104,182,55,240,222,10]}",,5623,
traviswyche,2024-06-18T01:40:20.502Z,2024-06-20T17:17:04.568Z,"{""type"":""Buffer"",""data"":[104,179,78,42,198,229,182,99,14,229,162,49,121,243,154,94,26,98,38,212]}",,23041,
defiginger,2024-06-17T23:21:58.378Z,2024-06-20T16:50:11.450Z,"{""type"":""Buffer"",""data"":[227,163,50,39,230,179,238,159,95,176,186,19,116,127,119,166,66,137,193,182]}",,5623,
darryl.eth,2024-06-17T23:16:21.920Z,2024-06-20T16:47:32.593Z,"{""type"":""Buffer"",""data"":[218,34,145,158,1,226,73,186,76,150,219,164,107,238,41,228,152,24,53,252]}",,3854,
darrylyeo,2024-06-17T23:16:20.983Z,2024-06-20T16:47:32.579Z,"{""type"":""Buffer"",""data"":[209,83,83,194,215,171,67,165,43,16,59,192,214,201,124,151,66,158,240,246]}",,3854,
zemm,2024-06-18T04:40:19.173Z,2024-06-20T17:58:17.826Z,"{""type"":""Buffer"",""data"":[96,24,228,12,104,98,3,205,225,0,232,135,58,201,233,189,60,254,15,164]}",,236454,
ashmbanks.eth,2024-06-18T04:10:58.539Z,2024-06-20T17:54:35.122Z,"{""type"":""Buffer"",""data"":[193,249,182,189,84,9,36,143,100,94,40,197,254,163,3,118,124,169,118,162]}",,231173,
zakku,2024-06-18T01:41:27.193Z,2024-06-20T17:17:15.374Z,"{""type"":""Buffer"",""data"":[70,128,236,94,127,136,133,96,188,41,19,218,91,228,1,105,216,16,112,119]}",,23353,
aksafadhil,2024-06-18T09:43:42.127Z,2024-06-20T18:25:37.701Z,"{""type"":""Buffer"",""data"":[241,174,252,3,66,242,13,68,59,131,254,88,39,210,32,243,83,219,122,102]}",,257018,
vanessagil,2024-06-18T00:28:44.578Z,2024-06-20T17:06:20.034Z,"{""type"":""Buffer"",""data"":[246,78,204,53,145,232,86,118,132,183,213,31,236,250,184,44,194,50,1,173]}",,15566,
ican,2024-06-18T13:00:10.091Z,2024-06-20T18:28:39.214Z,"{""type"":""Buffer"",""data"":[91,54,100,155,33,239,143,105,128,111,50,48,30,47,64,162,143,11,154,240]}",,258989,
singer,2024-06-18T06:01:13.115Z,2024-06-20T18:06:42.316Z,"{""type"":""Buffer"",""data"":[22,158,100,58,20,222,206,38,17,213,211,40,56,203,151,122,133,106,3,148]}",,244292,
crabsinger.eth,2024-06-18T06:01:14.473Z,2024-06-20T18:06:42.331Z,"{""type"":""Buffer"",""data"":[117,107,213,32,230,213,43,160,39,231,161,179,205,89,247,154,182,29,252,52]}",,244292,
fuadarham,2024-06-18T09:40:19.596Z,2024-06-20T18:25:23.871Z,"{""type"":""Buffer"",""data"":[219,120,77,14,165,127,245,0,134,25,22,65,186,233,189,250,166,176,35,34]}",,256854,
ashmbanks,2024-06-18T04:10:58.531Z,2024-06-20T17:54:35.107Z,"{""type"":""Buffer"",""data"":[198,147,72,180,137,117,235,61,226,36,217,9,148,84,119,94,218,130,116,142]}",,231173,
joseacabrerav,2024-06-18T00:24:39.098Z,2024-06-20T17:05:27.405Z,"{""type"":""Buffer"",""data"":[92,150,98,172,126,0,94,75,242,4,201,168,34,35,33,227,124,152,230,149]}",,15207,
akrampro,2024-06-18T09:30:09.399Z,2024-06-20T18:24:29.611Z,"{""type"":""Buffer"",""data"":[88,120,158,60,59,25,149,2,31,86,85,25,117,121,236,110,48,163,165,96]}",,256384,
vinz,2024-06-18T13:59:19.033Z,2024-06-20T18:33:03.278Z,"{""type"":""Buffer"",""data"":[197,245,128,4,27,207,248,94,164,172,213,253,253,155,176,4,200,167,21,88]}",,261557,
yuretajoji,2024-06-18T14:59:01.168Z,2024-06-20T18:36:53.757Z,"{""type"":""Buffer"",""data"":[90,123,119,54,29,88,68,252,20,139,116,21,64,94,120,238,141,135,96,175]}",,264093,
darrylyeo.eth,2024-06-17T23:16:21.661Z,2024-06-20T16:47:32.587Z,"{""type"":""Buffer"",""data"":[218,34,145,158,1,226,73,186,76,150,219,164,107,238,41,228,152,24,53,252]}",,3854,
tiegenhof,2024-06-21T07:00:47.404Z,2024-06-21T07:00:47.404Z,"{""type"":""Buffer"",""data"":[234,47,125,38,47,195,48,137,145,138,5,6,123,127,224,14,177,5,101,100]}",,342384,
yuminhwan,2024-06-21T08:23:47.149Z,2024-06-21T08:23:47.149Z,"{""type"":""Buffer"",""data"":[6,66,186,212,74,190,138,83,42,245,76,192,80,194,205,223,196,74,234,58]}",,349079,
shawky,2024-06-21T20:01:37.067Z,2024-06-21T20:01:37.067Z,"{""type"":""Buffer"",""data"":[115,222,147,158,115,100,178,172,238,188,235,125,109,156,90,82,143,0,8,44]}",,400913,
ttmaster,2024-06-22T02:44:57.732Z,2024-06-22T02:44:57.732Z,"{""type"":""Buffer"",""data"":[175,248,194,201,6,218,109,67,70,155,111,135,86,123,45,25,36,220,224,47]}",,416485,
wingfeather,2024-06-21T15:06:05.075Z,2024-06-21T15:06:05.075Z,"{""type"":""Buffer"",""data"":[163,223,249,165,241,217,79,194,247,218,223,58,37,211,44,56,129,211,26,252]}",,380810,
graffe,2024-06-21T15:28:54.653Z,2024-06-21T15:28:54.653Z,"{""type"":""Buffer"",""data"":[128,184,54,182,34,93,86,231,231,51,113,227,206,64,98,167,88,129,88,177]}",,382051,
givebot,2024-06-21T17:28:15.405Z,2024-06-21T17:28:15.405Z,"{""type"":""Buffer"",""data"":[104,214,34,152,143,212,102,46,82,29,173,127,4,102,179,7,245,204,73,175]}",,389267,
bstar,2024-06-22T21:17:50.739Z,2024-06-22T21:17:50.739Z,"{""type"":""Buffer"",""data"":[40,190,186,252,172,176,189,50,219,101,98,39,0,180,24,150,144,207,45,16]}",,464235,
finnc17,2024-06-22T23:19:18.962Z,2024-06-22T23:19:18.962Z,"{""type"":""Buffer"",""data"":[27,205,227,221,251,30,48,250,30,85,162,118,162,211,123,135,96,108,93,174]}",,474426,
